"dv_any_lifetime","age_group","marital_status","education_level","earns_income","employment_status","disability_status","spouse_income_relation","locality_type","feels_unsafe_home","conflict_frequency","food_insecurity_score","feels_unsafe_day","feels_unsafe_night","combined_safety_index","dv_common_perception","vaw_problem_perception","mobility_frequency","will_seek_help_dv","help_source_dv","will_seek_help_harass","help_source_harass","unsafe_reason_1","unsafe_reason_2","unsafe_reason_3","unsafe_reason_4","unsafe_reason_5","unsafe_reason_6","unsafe_reason_7","unsafe_reason_8","unsafe_reason_9","unsafe_reason_10","unsafe_reason_11","food_insec","max_dv_count","Food_Insecurity_Index","DV_common_perception_score","DV_Common_Perception_norm","VAW_Perception_Score","VAW_Perception_norm","DV_Exposure","DV_Type_Count","Unsafe_Score","WellBeing_Score","DV_Type"
1,"50 – 59 years","Single","Completed primary",NA,"Employed",0,NA,"Urban",0,NA,"Some coping mechanisms (1-4)",0.333333333333333,0.333333333333333,"Feels safe","Common","A little bit","Daily",1,"Access to women’s centres",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,2,0.666666666666667,1,0.333333333333333,1,2,0.416666666666667,0.583333333333333,"Verbal"
1,"18 – 29 years","Living with Partner","Post College",NA,"Employed",0,"More","Rural",1,"Never","Several coping mechanisms (5-8)",0,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Very uncommon","Not at all","Daily",1,"Seek help from shelter or safehouse for women",1,"Seek support from family",0,0,0,1,0,0,0,0,1,0,0,5,6,0.625,0,0,0,0,1,3,0.242424242424242,0.544191919191919,"Denial_of_Needs"
1,"18 – 29 years","Living with Partner","Post College",NA,"Employed",0,"More","Rural",1,"Never","Several coping mechanisms (5-8)",0,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Very uncommon","Not at all","Daily",1,"Seek help from shelter or safehouse for women",1,"Seek support from family",0,0,0,1,0,0,0,0,1,0,0,5,6,0.625,0,0,0,0,1,3,0.242424242424242,0.544191919191919,"Denial_of_Communication"
1,"40 – 49 years","Living with Partner","College",0,"Other",0,NA,"Urban",0,"Once or twice","No coping mechanisms",0,0,"Feels safe","Uncommon","A little bit","Daily",1,"Seek support from a religious leader",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.333333333333333,1,0.333333333333333,1,3,0.166666666666667,0.777777777777778,"Verbal"
1,"40 – 49 years","Living with Partner","College",0,"Other",0,NA,"Urban",0,"Once or twice","No coping mechanisms",0,0,"Feels safe","Uncommon","A little bit","Daily",1,"Seek support from a religious leader",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.333333333333333,1,0.333333333333333,1,3,0.166666666666667,0.777777777777778,"Denial_of_Needs"
1,"40 – 49 years","Living with Partner","College",NA,"Employed",0,"Less","Urban",0,"Daily","Some coping mechanisms (1-4)",1,1,"Feels unsafe/Sometimes feels unsafe","Common","Somewhat","Daily",1,"Seek support from a religious leader",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,2,0.666666666666667,2,0.666666666666667,1,4,0.833333333333333,0.333333333333333,"Verbal"
1,"40 – 49 years","Living with Partner","College",NA,"Employed",0,"Less","Urban",0,"Daily","Some coping mechanisms (1-4)",1,1,"Feels unsafe/Sometimes feels unsafe","Common","Somewhat","Daily",1,"Seek support from a religious leader",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,2,0.666666666666667,2,0.666666666666667,1,4,0.833333333333333,0.333333333333333,"Denial_of_Communication"
1,"40 – 49 years","Living with Partner","College",NA,"Employed",0,"Less","Urban",0,"Daily","Some coping mechanisms (1-4)",1,1,"Feels unsafe/Sometimes feels unsafe","Common","Somewhat","Daily",1,"Seek support from a religious leader",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,2,0.666666666666667,2,0.666666666666667,1,4,0.833333333333333,0.333333333333333,"Sexual_Harassment"
1,"30 – 39 years","Living with Partner","Completed primary",0,"Fulltime caretaker",0,NA,"Urban",0,"Once or twice","No coping mechanisms",0.333333333333333,0.333333333333333,"Feels safe","Common","A little bit","Daily",1,"Seek support from family",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.666666666666667,1,0.333333333333333,1,2,0.416666666666667,0.75,"Verbal"
1,"60 years and older","Living with Partner","Completed primary",0,"Fulltime caretaker",1,NA,"Urban",0,"Once or twice","Some coping mechanisms (1-4)",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Common","A little bit","2-3 times per week",0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,2,0.666666666666667,1,0.333333333333333,1,2,0.666666666666667,0.5625,"Verbal"
1,"30 – 39 years","Living with Partner","Less than primary",0,"Other",1,NA,"Urban",0,"Monthly","Several coping mechanisms (5-8)",0.666666666666667,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Common","Don't know","2-3 times per week",1,"Seek support from family",1,"Don't know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,1,2,0.666666666666667,NA,NA,1,2,0.666666666666667,0.3,"Verbal"
1,"60 years and older","Widowed","Completed primary",0,"Fulltime caretaker",0,NA,"Urban",0,"Daily","No coping mechanisms",0,0.333333333333333,"Feels safe","Common","A little bit","Never",1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.666666666666667,1,0.333333333333333,1,2,0.333333333333333,0.777777777777778,"Verbal"
1,"30 – 39 years","Single","College",NA,"Employed",0,NA,"Urban",0,"Once or twice","Some coping mechanisms (1-4)",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Uncommon","Don't know","Daily",1,"Seeking support from women’s groups/NGOs/CSOs",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0.25,1,0.333333333333333,NA,NA,1,2,0.444444444444444,0.657407407407407,"Verbal"
1,"40 – 49 years","Living with Partner","College",0,"Fulltime caretaker",1,NA,"Urban",0,"Daily","Some coping mechanisms (1-4)",0,0.333333333333333,"Feels safe","Uncommon","A little bit","Once a week",1,"Seek support from family",1,"Other, specify",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,1,0.333333333333333,1,0.333333333333333,1,2,0.25,0.6875,"Denial_of_Needs"
