"DV_group","Food_Insecurity_Index","Unsafe_Score","WellBeing_Score"
"non-survivors",0.125,0.25,0.875
"non-survivors",0,0.0666666666666667,0.977777777777778
"non-survivors",0.125,0.777777777777778,0.699074074074074
"non-survivors",0.625,0.583333333333333,0.5375
"non-survivors",0.5,0.333333333333333,0.722222222222222
"survivors",0.5,0.416666666666667,0.583333333333333
"survivors",0.625,0.242424242424242,0.544191919191919
"non-survivors",0.375,0.222222222222222,0.800925925925926
"non-survivors",0.125,0.25,0.7875
"non-survivors",0.875,0.25,0.625
"survivors",0,0.166666666666667,0.777777777777778
"survivors",0.5,0.833333333333333,0.333333333333333
"non-survivors",0.5,0.333333333333333,0.722222222222222
"non-survivors",0,0.222222222222222,0.925925925925926
"non-survivors",0.625,0.25,0.6375
"non-survivors",0,0.416666666666667,0.861111111111111
"non-survivors",0.375,0.333333333333333,0.763888888888889
"non-survivors",0.875,0.333333333333333,0.597222222222222
"non-survivors",0.75,0.333333333333333,0.575
"non-survivors",0.75,0.75,0.45
"non-survivors",0.375,0.333333333333333,0.763888888888889
"non-survivors",0.625,0.424242424242424,0.650252525252525
"non-survivors",0.125,0.0833333333333333,0.930555555555556
"non-survivors",0,0.583333333333333,0.805555555555556
"non-survivors",0,0.444444444444444,0.766666666666667
"non-survivors",0,0.416666666666667,0.775
"non-survivors",0.875,0.333333333333333,0.597222222222222
"non-survivors",0.875,0.25,0.5625
"non-survivors",1,0.545454545454545,0.436363636363636
"non-survivors",0.375,0.259259259259259,0.709722222222222
"non-survivors",0,0.25,0.916666666666667
"non-survivors",0.875,0.583333333333333,0.513888888888889
"non-survivors",0.25,0.5,0.75
"non-survivors",0.5,0.25,0.75
"non-survivors",0.125,0.166666666666667,0.902777777777778
"non-survivors",0.375,0.166666666666667,0.819444444444444
"non-survivors",0.25,0.333333333333333,0.805555555555556
"non-survivors",0,0.333333333333333,0.888888888888889
"non-survivors",0.25,0.25,0.833333333333333
"non-survivors",0,1,0.666666666666667
"non-survivors",0.25,0.222222222222222,0.842592592592593
"non-survivors",0.125,0.416666666666667,0.7375
"non-survivors",1,0.333333333333333,0.555555555555556
"non-survivors",0,0.333333333333333,0.888888888888889
"non-survivors",0,0.444444444444444,0.851851851851852
"non-survivors",0.375,0.666666666666667,0.652777777777778
"non-survivors",0.5,0.333333333333333,0.722222222222222
"non-survivors",0.375,0.444444444444444,0.654166666666667
"non-survivors",0,0.444444444444444,0.766666666666667
"non-survivors",0.375,0.0833333333333333,0.847222222222222
"non-survivors",0.125,0.583333333333333,0.763888888888889
"non-survivors",0.125,0.555555555555556,0.773148148148148
"non-survivors",0.5,0.0909090909090909,0.803030303030303
"non-survivors",0,0.25,0.916666666666667
"non-survivors",0.375,0.555555555555556,0.689814814814815
"non-survivors",0.875,0.75,0.458333333333333
"non-survivors",1,0.5,0.5
"non-survivors",0,0.5,0.75
"non-survivors",0.875,0.666666666666667,0.486111111111111
"non-survivors",0,0.416666666666667,0.861111111111111
"non-survivors",0.875,0.333333333333333,0.597222222222222
"non-survivors",0.75,0.416666666666667,0.611111111111111
"non-survivors",0.875,0.555555555555556,0.523148148148148
"non-survivors",0,0.5,0.833333333333333
"non-survivors",0,0.666666666666667,0.777777777777778
"non-survivors",0,0.333333333333333,0.888888888888889
"non-survivors",0.25,0.5,0.75
"non-survivors",1,0.5,0.5
"non-survivors",0,0.333333333333333,0.8
"non-survivors",0,0.333333333333333,0.8
"non-survivors",1,NA,0.45
"non-survivors",0,0.166666666666667,0.944444444444444
"non-survivors",0,0.111111111111111,0.866666666666667
"non-survivors",0.125,0.583333333333333,0.763888888888889
"non-survivors",1,0.25,0.583333333333333
"survivors",0,0.416666666666667,0.75
"survivors",0.125,0.666666666666667,0.5625
"survivors",1,0.666666666666667,0.3
"survivors",0,0.333333333333333,0.777777777777778
"survivors",0.25,0.444444444444444,0.657407407407407
"non-survivors",0,0.424242424242424,0.772727272727273
"non-survivors",0.625,0.416666666666667,0.5875
"non-survivors",1,0.233333333333333,0.588888888888889
"non-survivors",0,0,1
"non-survivors",0.5,0.166666666666667,0.777777777777778
"non-survivors",0,0.333333333333333,0.888888888888889
"non-survivors",0.125,0.166666666666667,0.902777777777778
"non-survivors",0.125,0.222222222222222,0.884259259259259
"survivors",0.125,0.25,0.6875
"survivors",1,0.333333333333333,0.4
"survivors",1,0.333333333333333,0.444444444444444
"survivors",0.75,0.333333333333333,0.527777777777778
"survivors",0.875,0.333333333333333,0.486111111111111
"survivors",0.5,0.0833333333333333,0.638888888888889
"survivors",0.875,0.833333333333333,0.319444444444444
"survivors",0,0,0.8
"non-survivors",0.125,0.333333333333333,0.7625
"non-survivors",0,0.666666666666667,0.777777777777778
"non-survivors",0,0.416666666666667,0.775
"non-survivors",0,0.666666666666667,0.7
"non-survivors",0.5,0.444444444444444,0.685185185185185
"non-survivors",1,0.25,0.583333333333333
"survivors",0.625,0.333333333333333,0.569444444444445
"survivors",0,0.888888888888889,0.592592592592593
"survivors",0.125,0.416666666666667,0.708333333333333
"survivors",0,0.272727272727273,0.668181818181818
"survivors",0.5,0.25,0.583333333333333
"survivors",0.5,0.5,0.45
"survivors",0.25,0.555555555555556,0.564814814814815
"survivors",0.375,0.444444444444444,0.50462962962963
"survivors",0.625,0.833333333333333,0.347222222222222
"survivors",0.75,0.25,0.45
"non-survivors",0,0.333333333333333,0.888888888888889
"non-survivors",0.625,0.181818181818182,0.731060606060606
"non-survivors",0,0.333333333333333,0.888888888888889
"non-survivors",0,0.555555555555556,0.814814814814815
"non-survivors",0.5,0.333333333333333,0.722222222222222
"non-survivors",0.25,0.363636363636364,0.795454545454545
"survivors",0.125,0.333333333333333,0.736111111111111
"survivors",0,0.583333333333333,0.625
"survivors",0.875,0.333333333333333,0.3875
"non-survivors",0.625,0.5,0.625
"non-survivors",0,0.25,0.916666666666667
"non-survivors",1,0.222222222222222,0.592592592592593
"non-survivors",0.75,0.222222222222222,0.675925925925926
"non-survivors",0.125,0.416666666666667,0.819444444444444
"non-survivors",0,0.833333333333333,0.722222222222222
"non-survivors",1,0.444444444444444,0.466666666666667
"non-survivors",0.5,0.166666666666667,0.7
"non-survivors",0,0.444444444444444,0.851851851851852
"non-survivors",0,0.166666666666667,0.944444444444444
"non-survivors",0,0.181818181818182,0.939393939393939
"survivors",0,0.166666666666667,0.833333333333333
"non-survivors",0.25,0.5,0.75
"non-survivors",0.375,0.25,0.791666666666667
"non-survivors",0.75,0.333333333333333,0.638888888888889
"non-survivors",0,0.0606060606060606,0.881818181818182
"non-survivors",0.875,0.333333333333333,0.597222222222222
"non-survivors",0,0.333333333333333,0.888888888888889
"non-survivors",0,0.5,0.833333333333333
"non-survivors",0.125,0,0.958333333333333
"non-survivors",0.75,0.25,0.666666666666667
"non-survivors",0.125,0,0.958333333333333
"non-survivors",0,0.166666666666667,0.944444444444444
"non-survivors",0,0.166666666666667,0.944444444444444
"non-survivors",0.125,0.333333333333333,0.847222222222222
"non-survivors",0.5,0.393939393939394,0.702020202020202
"non-survivors",0,0,0.9
"non-survivors",0.625,0.166666666666667,0.736111111111111
"non-survivors",0,0.166666666666667,0.944444444444444
"non-survivors",0,0.222222222222222,0.925925925925926
"non-survivors",0,0.444444444444444,0.766666666666667
"non-survivors",0,0.333333333333333,0.888888888888889
"survivors",0.125,0.166666666666667,0.791666666666667
"survivors",0,0.0833333333333333,0.861111111111111
"survivors",0.5,0.833333333333333,0.4
"survivors",0.25,0.555555555555556,0.62037037037037
"survivors",1,0.666666666666667,0.333333333333333
"survivors",1,0.666666666666667,0.333333333333333
"survivors",0.375,0.151515151515152,0.713383838383838
"survivors",0.5,0.545454545454545,0.484848484848485
"survivors",0.5,0.583333333333333,0.472222222222222
"survivors",0.375,0.333333333333333,0.597222222222222
"survivors",0.25,0.166666666666667,0.75
"survivors",0,0.5,0.722222222222222
"survivors",0.625,0.833333333333333,0.402777777777778
"survivors",0.5,0.583333333333333,0.472222222222222
"survivors",0.5,0.583333333333333,0.472222222222222
"survivors",1,0.166666666666667,0.4
"survivors",0.875,0,0.541666666666667
"survivors",0,0.416666666666667,0.638888888888889
"survivors",0.125,0.333333333333333,0.625
"survivors",0,0.333333333333333,0.65
"survivors",0.375,0.333333333333333,0.597222222222222
"survivors",0.125,0.333333333333333,0.680555555555556
"survivors",0.875,0.416666666666667,0.347222222222222
"survivors",0.75,0.25,0.4
"survivors",0.125,0.833333333333333,0.513888888888889
"survivors",0.875,0.575757575757576,0.264772727272727
"survivors",0.25,0.166666666666667,0.75
