dv_any_lifetime,age_group,marital_status,education_level,earns_income,employment_status,disability_status,spouse_income_relation,locality_type,feels_unsafe_home,conflict_frequency,food_insecurity_score,feels_unsafe_day,feels_unsafe_night,combined_safety_index,dv_common_perception,vaw_problem_perception,mobility_frequency,dv_physical,dv_verbal,dv_economic,dv_other,dv_sexual,will_seek_help_dv,help_source_dv,will_seek_help_harass,help_source_harass,unsafe_reason_1,unsafe_reason_2,unsafe_reason_3,unsafe_reason_4,unsafe_reason_5,unsafe_reason_6,unsafe_reason_7,unsafe_reason_8,unsafe_reason_9,unsafe_reason_10,unsafe_reason_11,food_insec
Others,40 – 49 years,Single,College,No,Other,"No, I don’t have difficulties",NA,Urban,No,NA,Some coping mechanisms (1-4),Safe,Safe,Feels safe,Uncommon,Not at all,2-3 times per week,Refused,Refused,Refused,Refused,Refused,Yes,Seek support from family,Yes,Access to women’s centres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Others,60 years and older,Living with Partner,College,Yes,Other,"No, I don’t have difficulties",More,Urban,Yes,Never,No coping mechanisms,Safe,Safe,Feels safe,Very uncommon,Don't know,2-3 times per week,Refused,Refused,Refused,Refused,Refused,Yes,Seek support from family,Yes,Seek support from family,No,No,No,No,No,No,No,No,No,No,No,0
Others,40 – 49 years,Living with Partner,College,No,Unemployed,"No, I don’t have difficulties",NA,Rural,No,Daily,Some coping mechanisms (1-4),Safe,Refused,DK/Refusal,Very common,A lot,Daily,Refused,Refused,Refused,Refused,Refused,Don't know,NA,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Others,60 years and older,Living with Partner,Less than primary,No,Other,"Yes, I have difficulties",NA,Urban,Refused,Refused,Several coping mechanisms (5-8),Safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Very uncommon,A lot,Refused,Refused,Refused,Refused,Refused,Refused,Don't know,NA,Yes,Go to health facility,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
Others,18 – 29 years,Single,Completed secondary,No,Employed,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Uncommon,Not at all,Daily,Refused,Refused,Refused,Refused,Refused,Yes,Seek support from family,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Yes,50 – 59 years,Single,Completed primary,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,NA,Some coping mechanisms (1-4),Safe,Safe,Feels safe,Common,A little bit,Daily,Refused,Yes,Refused,Refused,Refused,Yes,Access to women’s centres,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Yes,18 – 29 years,Living with Partner,Post College,NA,Employed,"No, I don’t have difficulties",More,Rural,Yes,Never,Several coping mechanisms (5-8),Very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Daily,Refused,Refused,Yes,Yes,Refused,Yes,Seek help from shelter or safehouse for women,Yes,Seek support from family,No,No,No,Yes,No,No,No,No,Yes,No,No,5
Others,30 – 39 years,Single,College,No,Employed,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Some coping mechanisms (1-4),Safe,Safe,Feels safe,Don't know,Not at all,2-3 times per week,Refused,Refused,No,Refused,No,Yes,Seek support from family,Yes,Approach community leaders for support,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Others,50 – 59 years,Living with Partner,Completed secondary,No,Fulltime caretaker,"Yes, I have difficulties",NA,Urban,No,Once or twice,Some coping mechanisms (1-4),Safe,Safe,Feels safe,Uncommon,Not at all,2-3 times per week,Refused,No,No,No,No,Yes,Seeking support from women’s groups/NGOs/CSOs,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Others,30 – 39 years,Living with Partner,College,NA,Employed,"No, I don’t have difficulties",Less,Urban,No,Once or twice,Several coping mechanisms (5-8),Safe,Safe,Feels safe,Uncommon,Not at all,2-3 times per week,Refused,No,No,No,No,Yes,Seek support from family,Yes,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
